districtid,monthid,dose 1,dose 2
BR_Khagaria,15,69780,7731
BR_Khagaria,16,158969,25512
BR_Kishanganj,10,8844,0
BR_Kishanganj,11,10616,5464
BR_Kishanganj,12,42521,6676
BR_Kishanganj,13,28236,14640
BR_Kishanganj,14,44865,670
BR_Kishanganj,15,86645,4997
BR_Kishanganj,16,114723,17806
BR_Lakhisarai,10,3773,0
BR_Lakhisarai,11,5029,2389
BR_Lakhisarai,12,24840,3235
BR_Lakhisarai,13,18761,7178
BR_Lakhisarai,14,24876,571
BR_Lakhisarai,15,56872,5640
BR_Lakhisarai,16,86884,14917
BR_Madhepura,10,9680,0
BR_Madhepura,11,12919,6240
BR_Madhepura,12,63427,5371
BR_Madhepura,13,49054,15353
BR_Madhepura,14,46183,1601
BR_Madhepura,15,75282,10015
BR_Madhepura,16,157022,31759
BR_Madhubani,10,14175,1
BR_Madhubani,11,28075,11838
BR_Madhubani,12,135360,12420
BR_Madhubani,13,107382,52454
BR_Madhubani,14,116095,1806
BR_Madhubani,15,249923,15816
BR_Madhubani,16,297187,92332
BR_Munger,10,8071,1
BR_Munger,11,7597,5072
BR_Munger,12,54355,5965
BR_Munger,13,26377,16646
BR_Munger,14,42315,996
BR_Munger,15,104659,12126
BR_Munger,16,138691,23645
BR_Muzaffarpur,10,20836,0
BR_Muzaffarpur,11,16418,12758
BR_Muzaffarpur,12,128887,8250
BR_Muzaffarpur,13,113891,35415
BR_Muzaffarpur,14,146981,4803
BR_Muzaffarpur,15,296352,54649
BR_Muzaffarpur,16,344335,77621
BR_Nalanda,10,14603,11
BR_Nalanda,11,19070,10958
BR_Nalanda,12,147354,11120
BR_Nalanda,13,75958,35590
BR_Nalanda,14,80828,2236
BR_Nalanda,15,222179,40772
BR_Nalanda,16,209790,69146
BR_Nawada,10,8158,16
BR_Nawada,11,14590,5299
BR_Nawada,12,84814,8131
BR_Nawada,13,38692,24817
BR_Nawada,14,56790,1284
BR_Nawada,15,96684,15422
BR_Nawada,16,187598,29614
BR_Patna,10,47407,2
BR_Patna,11,78712,27980
BR_Patna,12,264279,39013
BR_Patna,13,199827,113329
BR_Patna,14,394599,121934
BR_Patna,15,676214,174006
BR_Patna,16,849109,379557
BR_Purnia,10,12297,0
BR_Purnia,11,15002,7863
BR_Purnia,12,119747,7045
BR_Purnia,13,102398,33937
BR_Purnia,14,130087,4588
BR_Purnia,15,213583,36273
BR_Purnia,16,236486,73566
BR_Rohtas,10,11779,0
BR_Rohtas,11,17009,7829
BR_Rohtas,12,103791,9114
BR_Rohtas,13,54518,27884
BR_Rohtas,14,84405,1520
BR_Rohtas,15,151651,16328
BR_Rohtas,16,250074,47371
BR_Saharsa,10,7266,0
BR_Saharsa,11,10411,4693
BR_Saharsa,12,63244,4772
BR_Saharsa,13,58389,21158
BR_Saharsa,14,54122,1653
BR_Saharsa,15,100314,11173
BR_Saharsa,16,132058,34030
BR_Samastipur,10,18672,1
BR_Samastipur,11,27272,13815
BR_Samastipur,12,143054,11836
BR_Samastipur,13,89363,52165
BR_Samastipur,14,104561,2131
BR_Samastipur,15,198152,27831
BR_Samastipur,16,382789,68338
BR_Saran,10,18164,0
BR_Saran,11,20166,12250
BR_Saran,12,175241,12718
BR_Saran,13,111680,55162
BR_Saran,14,116634,3967
BR_Saran,15,223721,42478
BR_Saran,16,368474,86405
BR_Sheikhpura,10,2857,0
BR_Sheikhpura,11,5348,2411
BR_Sheikhpura,12,28147,3015
BR_Sheikhpura,13,10831,7990
BR_Sheikhpura,14,15670,266
BR_Sheikhpura,15,42427,5328
BR_Sheikhpura,16,61246,10848
BR_Sheohar,10,2724,0
BR_Sheohar,11,4313,1780
BR_Sheohar,12,38464,1365
BR_Sheohar,13,16067,8984
BR_Sheohar,14,16377,1533
BR_Sheohar,15,47746,11019
BR_Sheohar,16,43547,13340
BR_Sitamarhi,10,11499,0
BR_Sitamarhi,11,18297,6977
BR_Sitamarhi,12,108471,9238
BR_Sitamarhi,13,60672,27272
BR_Sitamarhi,14,71576,726
BR_Sitamarhi,15,135526,20966
BR_Sitamarhi,16,316713,55945
BR_Siwan,10,11773,1
BR_Siwan,11,17683,8912
BR_Siwan,12,190283,12191
BR_Siwan,13,83895,58642
BR_Siwan,14,101919,4398
BR_Siwan,15,192099,31463
BR_Siwan,16,311216,65443
BR_Supaul,10,10323,0
BR_Supaul,11,9300,6599
BR_Supaul,12,56287,4293
BR_Supaul,13,57998,10874
BR_Supaul,14,71739,2075
BR_Supaul,15,125001,15577
BR_Supaul,16,126688,39035
BR_Vaishali,10,14007,0
BR_Vaishali,11,19566,8030
BR_Vaishali,12,128260,9883
BR_Vaishali,13,70801,28465
BR_Vaishali,14,85081,16999
BR_Vaishali,15,164501,19869
BR_Vaishali,16,303705,53912
BR_West Champaran,10,13764,1
BR_West Champaran,11,10914,6449
BR_West Champaran,12,79418,8646
BR_West Champaran,13,77850,19601
BR_West Champaran,14,110108,1493
BR_West Champaran,15,232487,18031
BR_West Champaran,16,287206,44289
CH_Chandigarh,10,6712,117
CH_Chandigarh,11,31697,5656
CH_Chandigarh,12,70394,15804
CH_Chandigarh,13,97769,50550
CH_Chandigarh,14,129710,3766
CH_Chandigarh,15,184220,50248
CH_Chandigarh,16,213077,118210
CT_Balod,10,8549,45
CT_Balod,11,16671,7155
CT_Balod,12,119441,6263
CT_Balod,13,25849,18541
CT_Balod,14,5726,3717
CT_Balod,15,100390,36299
CT_Balod,16,63842,32521
CT_Baloda Bazar,10,9319,3
CT_Baloda Bazar,11,9321,7878
CT_Baloda Bazar,12,156843,6783
