Dist code,Total,male,female
MP_Betul,1575362,799236,776126
MP_Bhind,1703005,926843,776162
MP_Bhopal,2371061,1236130,1134931
MP_Burhanpur,757847,388504,369343
MP_Chhatarpur,1762375,936121,826254
MP_Chhindwara,2090922,1064468,1026454
MP_Damoh,1264219,661873,602346
MP_Datia,786754,420157,366597
MP_Dewas,1563715,805359,758356
MP_Dhar,2185793,1112725,1073068
MP_Dindori,704524,351913,352611
MP_Guna,1241519,649362,592157
MP_Gwalior,2032036,1090327,941709
MP_Harda,570465,294838,275627
MP_Hoshangabad,1241350,648725,592625
MP_Indore,3276697,1699627,1577070
MP_Jabalpur,2463289,1277278,1186011
MP_Jhabua,1025048,515023,510025
MP_Katni,1292042,662013,630029
MP_Khandwa,1310061,674329,635732
MP_Khargone,1873046,953121,919925
MP_Mandla,1054905,525272,529633
MP_Mandsaur,1340411,682851,657560
MP_Morena,1965970,1068417,897553
MP_Narsinghpur,1091854,568810,523044
MP_Neemuch,826067,422653,403414
MP_Panna,1016520,533480,483040
MP_Raisen,1331597,700358,631239
MP_Rajgarh,1545814,790212,755602
MP_Ratlam,1455069,738241,716828
MP_Rewa,2365106,1225100,1140006
MP_Sagar,2378458,1256257,1122201
MP_Satna,2228935,1157495,1071440
MP_Sehore,1311332,683743,627589
MP_Seoni,1379131,695879,683252
MP_Shahdol,1066063,540021,526042
MP_Shajapur,1512681,780520,732161
MP_Sheopur,687861,361784,326077
MP_Shivpuri,1726050,919795,806255
MP_Sidhi,1127033,575912,551121
MP_Singrauli,1178273,613637,564636
MP_Tikamgarh,1445166,760355,684811
MP_Ujjain,1986864,1016289,970575
MP_Umaria,644758,330674,314084
MP_Vidisha,1458875,769568,689307
MZ_Aizawl,400309,199270,201039
MZ_Champhai,125745,63388,62357
MZ_Kolasib,83955,42918,41037
MZ_Lawngtlai,117894,60599,57295
MZ_Lunglei,161428,82891,78537
MZ_Mamit,86364,44828,41536
MZ_Saiha,56574,28594,27980
MZ_Serchhip,64937,32851,32086
NL_Dimapur,378811,197394,181417
